weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;four;currency4;rateFour;three;currency5;rateThree;nr1;nr2;nr3;nr4;nr5;nr6;additionalNr;
Sunday;07.09.1986;1;20;22;24;27;40;12;1;ATS;6542159,00;3;ATS;726906,00;125;ATS;26168,00;8400;ATS;518,00;168414;ATS;32,00;27;20;22;1;24;40;12;
Sunday;14.09.1986;9;10;20;30;32;36;25;3;ATS;2290274,00;4;ATS;572568,00;179;ATS;19192,00;12351;ATS;371,00;212105;ATS;27,00;9;32;20;36;30;10;25;
Sunday;21.09.1986;6;7;8;16;24;30;33;1;ATS;7375241,00;9;ATS;273157,00;324;ATS;11381,00;17381;ATS;282,00;273205;ATS;22,00;24;30;6;8;16;7;33;
Sunday;28.09.1986;1;10;11;36;40;41;38;1;ATS;8007667,00;1;ATS;2669222,00;113;ATS;35432,00;7992;ATS;667,00;175896;ATS;37,00;11;10;40;41;36;1;38;
Sunday;05.10.1986;13;14;15;28;31;35;27;4;ATS;2087240,00;20;ATS;139149,00;412;ATS;10132,00;15884;ATS;350,00;256169;ATS;27,00;13;15;28;31;35;14;27;
Sunday;12.10.1986;4;9;13;25;30;39;22;1;ATS;8559469,00;19;ATS;150166,00;280;ATS;15284,00;13245;ATS;430,00;223584;ATS;31,00;25;30;39;13;4;9;22;
Sunday;19.10.1986;14;15;17;38;43;45;22;JP;;8490072,00;5;ATS;566004,00;120;ATS;35375,00;8344;ATS;678,00;185938;ATS;38,00;43;15;45;17;38;14;22;
Sunday;26.10.1986;1;2;8;11;26;30;41;3;ATS;8065166,00;12;ATS;436261,00;598;ATS;13131,00;28580;ATS;366,00;488438;ATS;26,00;1;2;26;11;8;30;41;
Sunday;02.11.1986;6;12;14;16;28;31;45;1;ATS;10283206,00;13;ATS;263671,00;490;ATS;10493,00;23169;ATS;295,00;356639;ATS;24,00;6;16;14;31;28;12;45;
Sunday;09.11.1986;5;25;30;33;35;38;14;JP;;10411670,00;4;ATS;867639,00;176;ATS;29578,00;12918;ATS;537,00;237622;ATS;36,00;33;25;5;38;35;30;14;
Sunday;16.11.1986;5;14;20;22;33;39;34;2;ATS;13836098,00;10;ATS;575350,00;700;ATS;12328,00;34524;ATS;333,00;538865;ATS;26,00;39;22;33;14;5;20;34;
Sunday;23.11.1986;27;29;35;38;39;44;8;1;ATS;11625232,00;6;ATS;645846,00;244;ATS;23822,00;15133;ATS;512,00;302295;ATS;32,00;35;29;39;38;27;44;8;
Sunday;30.11.1986;4;19;21;31;35;45;36;1;ATS;11515676,00;7;ATS;548365,00;288;ATS;19992,00;15810;ATS;485,00;283038;ATS;33,00;35;45;19;4;31;21;36;
Sunday;07.12.1986;7;17;19;29;38;41;2;6;ATS;1836110,00;11;ATS;333838,00;553;ATS;9960,00;22376;ATS;328,00;320050;ATS;28,00;7;19;41;29;38;17;2;
Sunday;14.12.1986;17;20;27;33;36;38;39;5;ATS;2062739,00;4;ATS;859474,00;531;ATS;9711,00;22930;ATS;299,00;338601;ATS;25,00;20;33;17;36;27;38;39;
Sunday;21.12.1986;2;13;30;33;39;41;37;JP;;9834996,00;1;ATS;3278331,00;161;ATS;30543,00;11903;ATS;550,00;239535;ATS;34,00;33;30;2;41;39;13;37;
Thursday;01.01.1987;1;13;14;32;34;44;7;3;ATS;7519368,00;3;ATS;1413678,00;240;ATS;26506,00;15980;ATS;530,00;307393;ATS;34,00;14;34;13;1;32;44;7;
Sunday;11.01.1987;7;11;26;28;29;33;19;1;ATS;10758738,00;14;ATS;256160,00;357;ATS;15068,00;19194;ATS;373,00;341729;ATS;26,00;28;33;26;7;29;11;19;
Sunday;18.01.1987;2;19;28;29;33;42;15;JP;;9732472,00;13;ATS;249550,00;219;ATS;22220,00;15876;ATS;408,00;277162;ATS;29,00;33;19;42;28;2;29;15;
Sunday;25.01.1987;1;5;10;16;33;43;41;4;ATS;5777908,00;9;ATS;495524,00;336;ATS;19909,00;17224;ATS;517,00;329729;ATS;33,00;5;16;10;43;33;1;41;
Sunday;01.02.1987;4;16;21;35;38;45;39;3;ATS;3497453,00;9;ATS;388605,00;621;ATS;8447,00;26263;ATS;266,00;311035;ATS;28,00;38;4;45;16;35;21;39;
Sunday;08.02.1987;12;17;28;29;30;33;24;1;ATS;10320315,00;5;ATS;688021,00;369;ATS;13984,00;20504;ATS;335,00;375404;ATS;22,00;17;29;12;30;33;28;24;
Sunday;15.02.1987;2;6;10;23;31;41;28;JP;;10790875,00;7;ATS;513851,00;337;ATS;16010,00;16265;ATS;442,00;268358;ATS;33,00;10;41;31;23;2;6;28;
Sunday;22.02.1987;3;7;12;17;36;44;16;6;ATS;4546588,00;9;ATS;610690,00;2364;ATS;3487,00;27989;ATS;392,00;449480;ATS;30,00;44;12;36;17;3;7;16;
Sunday;01.03.1987;18;19;24;26;30;42;11;JP;;11137455,00;5;ATS;742497,00;208;ATS;26772,00;15871;ATS;467,00;282464;ATS;32,00;19;42;24;18;26;30;11;
Sunday;08.03.1987;1;5;24;36;38;42;18;1;ATS;26205604,00;9;ATS;558079,00;194;ATS;38835,00;13390;ATS;750,00;277777;ATS;45,00;5;24;36;38;42;1;18;
Sunday;15.03.1987;4;19;23;27;29;34;14;3;ATS;4235491,00;19;ATS;222920,00;467;ATS;13604,00;23555;ATS;359,00;393259;ATS;26,00;4;34;27;29;23;19;14;
Sunday;22.03.1987;3;7;13;24;31;44;6;1;ATS;11973638,00;9;ATS;443468,00;530;ATS;11295,00;32404;ATS;246,00;335463;ATS;29,00;31;7;13;24;44;3;6;
Sunday;29.03.1987;3;4;10;21;28;44;33;1;ATS;11456449,00;37;ATS;103211,00;407;ATS;14074,00;20753;ATS;368,00;349350;ATS;27,00;4;21;28;44;3;10;33;
Sunday;05.04.1987;6;9;14;21;24;44;5;2;ATS;5737897,00;6;ATS;637544,00;344;ATS;16679,00;19272;ATS;396,00;328847;ATS;29,00;24;44;9;14;6;21;5;
Sunday;12.04.1987;3;20;23;26;27;40;31;1;ATS;10583119,00;6;ATS;587951,00;233;ATS;22710,00;16656;ATS;423,00;304965;ATS;28,00;27;26;40;3;23;20;31;
Sunday;19.04.1987;3;6;18;20;40;42;4;1;ATS;10218388,00;5;ATS;681225,00;254;ATS;20114,00;13270;ATS;513,00;259540;ATS;32,00;42;40;6;18;3;20;4;
Sunday;26.04.1987;5;25;28;30;35;36;16;1;ATS;9859764,00;4;ATS;821647,00;193;ATS;25543,00;15135;ATS;434,00;249345;ATS;32,00;28;30;25;35;36;5;16;
Sunday;03.05.1987;21;29;32;35;39;43;24;5;ATS;1901179,00;16;ATS;198039,00;509;ATS;9337,00;21365;ATS;296,00;285131;ATS;27,00;29;39;21;43;32;35;24;
Sunday;10.05.1987;12;13;14;19;35;40;10;JP;;10437772,00;3;ATS;1159752,00;157;ATS;33241,00;10012;ATS;695,00;222443;ATS;39,00;12;19;13;40;35;14;10;
Sunday;17.05.1987;32;33;35;41;43;45;39;6;ATS;4095480,00;79;ATS;59641,00;535;ATS;13210,00;16878;ATS;558,00;305706;ATS;38,00;45;43;33;35;41;32;39;
Sunday;24.05.1987;3;15;16;36;39;42;17;1;ATS;10753543,00;4;ATS;896128,00;254;ATS;21168,00;15735;ATS;455,00;268688;ATS;33,00;15;36;3;42;16;39;17;
Sunday;31.05.1987;8;10;14;26;30;41;35;JP;;9866783,00;8;ATS;411115,00;318;ATS;15513,00;15938;ATS;412,00;281146;ATS;29,00;14;30;41;8;10;26;35;
Sunday;07.06.1987;8;23;24;25;28;32;11;1;ATS;23703925,00;11;ATS;419307,00;231;ATS;29950,00;20967;ATS;439,00;376013;ATS;30,00;28;8;23;24;25;32;11;
Sunday;14.06.1987;1;15;30;37;40;43;18;JP;;10248236,00;JP;;3416078,00;179;ATS;28626,00;11062;ATS;617,00;214044;ATS;39,00;37;15;40;43;1;30;18;
Sunday;21.06.1987;3;11;12;16;19;42;34;1;ATS;26507214,00;21;ATS;420749,00;462;ATS;17596,00;27628;ATS;392,00;470696;ATS;28,00;3;12;16;42;11;19;34;
Sunday;28.06.1987;10;17;30;37;40;45;27;2;ATS;5369911,00;20;ATS;178997,00;323;ATS;16625,00;18766;ATS;381,00;269069;ATS;33,00;30;40;45;10;37;17;27;
Sunday;05.07.1987;5;8;15;22;33;36;13;2;ATS;4986760,00;11;ATS;302227,00;835;ATS;5972,00;39866;ATS;166,00;373518;ATS;22,00;15;33;22;36;5;8;13;
Sunday;12.07.1987;3;8;17;27;29;44;2;3;ATS;3280794,00;8;ATS;410099,00;580;ATS;8484,00;25455;ATS;257,00;358756;ATS;22,00;3;8;27;17;29;44;2;
Sunday;19.07.1987;1;22;27;36;39;43;28;1;ATS;9384697,00;1;ATS;3128232,00;246;ATS;19074,00;12210;ATS;512,00;228103;ATS;34,00;36;1;27;39;43;22;28;
Sunday;26.07.1987;8;15;20;25;33;41;26;1;ATS;9041456,00;9;ATS;334868,00;507;ATS;8916,00;20234;ATS;297,00;293744;ATS;25,00;15;41;33;8;20;25;26;
Sunday;02.08.1987;4;20;28;29;38;43;7;JP;;9293703,00;10;ATS;309790,00;300;ATS;15489,00;14828;ATS;417,00;256790;ATS;30,00;38;29;4;43;28;20;7;
Sunday;09.08.1987;3;10;14;27;29;45;20;DJP;;22083013,00;17;ATS;250770,00;727;ATS;8795,00;29825;ATS;285,00;435774;ATS;24,00;29;45;10;14;27;3;20;
Sunday;16.08.1987;3;5;10;12;16;28;37;3;ATS;15694155,00;9;ATS;925905,00;1318;ATS;9483,00;58100;ATS;286,00;864167;ATS;24,00;5;3;16;10;28;12;37;
Sunday;23.08.1987;5;10;22;30;39;43;7;1;ATS;10906958,00;15;ATS;242376,00;415;ATS;13140,00;18334;ATS;396,00;308633;ATS;29,00;22;39;10;30;5;43;7;
Sunday;30.08.1987;8;10;24;30;35;39;43;JP;;10769870,00;5;ATS;717991,00;355;ATS;15168,00;19366;ATS;370,00;340577;ATS;26,00;39;30;24;10;8;35;43;
Sunday;06.09.1987;8;17;26;33;37;39;38;DJP;;25415251,00;7;ATS;697399,00;613;ATS;11945,00;30388;ATS;321,00;458261;ATS;26,00;37;26;33;39;17;8;38;
Sunday;13.09.1987;9;24;25;26;37;45;38;3;ATS;17439235,00;9;ATS;996387,00;422;ATS;31874,00;26128;ATS;686,00;539904;ATS;41,00;24;9;26;25;45;37;38;
Sunday;20.09.1987;4;17;22;26;37;39;36;2;ATS;6013417,00;11;ATS;364449,00;430;ATS;13984,00;31467;ATS;254,00;345519;ATS;29,00;37;4;39;22;17;26;36;
Sunday;27.09.1987;4;6;10;11;24;36;3;2;ATS;5951514,00;4;ATS;991919,00;322;ATS;18482,00;18877;ATS;420,00;334819;ATS;29,00;11;10;6;24;4;36;3;
Sunday;04.10.1987;7;10;33;35;36;41;11;1;ATS;11761710,00;7;ATS;560081,00;254;ATS;23152,00;16349;ATS;479,00;331959;ATS;29,00;7;10;41;35;36;33;11;
Sunday;11.10.1987;5;14;20;22;23;31;2;JP;;11682102,00;7;ATS;556290,00;351;ATS;16641,00;20800;ATS;374,00;330243;ATS;29,00;14;5;20;31;22;23;2;
Sunday;18.10.1987;21;22;29;30;34;35;42;7;ATS;3853882,00;6;ATS;849726,00;475;ATS;16100,00;23128;ATS;440,00;438644;ATS;29,00;21;22;30;29;35;34;42;
Sunday;25.10.1987;20;21;32;33;35;43;29;3;ATS;3914212,00;18;ATS;217456,00;696;ATS;8435,00;31502;ATS;248,00;401770;ATS;24,00;33;20;43;35;32;21;29;
Sunday;01.11.1987;15;25;26;28;39;44;18;2;ATS;5839762,00;17;ATS;229010,00;729;ATS;8010,00;28921;ATS;269,00;387351;ATS;25,00;25;15;39;28;44;26;18;
Sunday;08.11.1987;5;13;16;23;39;41;22;3;ATS;3881616,00;3;ATS;1293872,00;313;ATS;18601,00;15248;ATS;509,00;285593;ATS;33,00;13;39;23;16;41;5;22;
Sunday;15.11.1987;14;25;29;30;37;41;28;JP;;11470148,00;8;ATS;477922,00;255;ATS;22490,00;14728;ATS;519,00;269122;ATS;35,00;14;30;41;37;25;29;28;
Sunday;22.11.1987;7;16;17;20;39;45;29;1;ATS;27571926,00;12;ATS;447271,00;310;ATS;25970,00;20512;ATS;523,00;407590;ATS;32,00;20;7;39;16;17;45;29;
Sunday;29.11.1987;5;14;17;33;37;39;4;3;ATS;4355788,00;5;ATS;871157,00;892;ATS;7324,00;40074;ATS;217,00;488757;ATS;22,00;17;5;37;14;33;39;4;
Sunday;06.12.1987;10;13;17;26;31;38;25;2;ATS;6639694,00;7;ATS;632351,00;367;ATS;18091,00;20081;ATS;440,00;354021;ATS;31,00;10;17;26;13;31;38;25;
Sunday;13.12.1987;4;18;19;23;26;31;15;JP;;12307641,00;3;ATS;1367515,00;237;ATS;25965,00;15575;ATS;526,00;293677;ATS;34,00;23;4;19;18;26;31;15;
Sunday;20.12.1987;3;15;19;24;25;27;29;5;ATS;6220080,00;19;ATS;329697,00;1294;ATS;7261,00;42177;ATS;297,00;638911;ATS;24,00;25;15;3;19;24;27;29;
