weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;four;currency4;rateFour;three;currency5;rateThree;nr1;nr2;nr3;nr4;nr5;nr6;additionalNr;
Wednesday;03.01.2001;4;7;24;37;39;44;26;3JP;;4402422,04;13;EUR;29024,73;315;EUR;1497,28;16919;EUR;44,55;301928;EUR;3,85;24;37;4;44;39;7;26;
Sunday;07.01.2001;29;31;35;37;40;41;8;2;EUR;3792790,71;8;EUR;77637,99;605;EUR;1283,26;28168;EUR;44,04;480313;EUR;4,00;37;29;40;41;31;35;8;
Wednesday;10.01.2001;9;16;18;20;23;29;26;JP;;894247,51;6;EUR;29081,20;226;EUR;965,02;10358;EUR;33,65;164595;EUR;3,27;9;23;20;18;29;16;26;
Sunday;14.01.2001;19;24;27;32;38;44;30;3;EUR;867720,47;9;EUR;37049,56;278;EUR;1499,24;15596;EUR;42,73;271256;EUR;3,78;38;32;24;27;44;19;30;
Wednesday;17.01.2001;1;15;29;30;36;45;5;JP;;836077,99;4;EUR;40784,29;156;EUR;1307,17;10371;EUR;31,39;130926;EUR;3,85;1;29;45;36;15;30;5;
Sunday;21.01.2001;2;7;14;21;26;30;32;5;EUR;493611,33;10;EUR;31843,42;482;EUR;825,78;20998;EUR;30,30;327595;EUR;2,98;21;30;2;14;7;26;32;
Wednesday;24.01.2001;15;20;24;38;39;41;35;JP;;860785,16;4;EUR;41989,49;130;EUR;1614,94;6526;EUR;51,45;124155;EUR;4,22;24;20;39;41;38;15;35;
Sunday;28.01.2001;3;7;11;15;37;42;34;2;EUR;1228297,35;7;EUR;44482,46;314;EUR;1239,51;17392;EUR;35,76;285200;EUR;3,34;42;7;15;11;3;37;34;
Wednesday;31.01.2001;1;26;30;32;37;39;42;1;EUR;799693,10;3;EUR;52012,53;131;EUR;1488,85;7118;EUR;43,82;127043;EUR;3,78;39;30;37;32;1;26;42;
Sunday;04.02.2001;10;12;18;20;29;43;4;JP;;1077720,11;10;EUR;21028,68;199;EUR;1320,83;10620;EUR;39,53;177770;EUR;3,63;18;29;20;10;12;43;4;
Wednesday;07.02.2001;5;8;15;27;30;31;10;1;EUR;2478982,22;15;EUR;18227,80;374;EUR;913,79;17078;EUR;31,98;265620;EUR;3,20;5;8;30;31;15;27;10;
Sunday;11.02.2001;6;8;10;11;12;35;23;1;EUR;1123203,64;7;EUR;31308,77;283;EUR;968,00;14213;EUR;30,81;214092;EUR;3,20;8;6;12;11;35;10;23;
Wednesday;14.02.2001;3;16;17;25;38;41;36;JP;EUR;782116,31;3;EUR;50869,31;198;EUR;963,42;7869;EUR;38,73;129629;EUR;3,63;41;17;3;16;25;38;36;
Sunday;18.02.2001;1;2;5;7;28;37;8;1;EUR;2308400,18;12;EUR;24817,55;330;EUR;1128,03;18499;EUR;32,19;296971;EUR;3,12;28;37;1;5;7;2;8;
Wednesday;21.02.2001;2;6;8;12;16;33;1;4;EUR;188762,16;9;EUR;16369,56;217;EUR;848,60;11401;EUR;25,80;157164;EUR;2,91;2;6;16;12;33;8;1;
Sunday;25.02.2001;13;20;22;29;38;41;4;JP;;1056724,78;10;EUR;20618,95;188;EUR;1370,90;9816;EUR;42,00;168953;EUR;3,78;13;41;20;38;22;29;4;
Wednesday;28.02.2001;2;3;11;24;32;43;18;DJP;;2401328,10;8;EUR;32795,14;232;EUR;1413,56;12728;EUR;41,21;225030;EUR;3,63;43;2;11;32;3;24;18;
Sunday;04.03.2001;6;7;8;29;39;41;38;1;EUR;4529465,27;12;EUR;34603,82;354;EUR;1466,25;20295;EUR;40,91;365924;EUR;3,49;6;7;29;39;8;41;38;
Wednesday;07.03.2001;8;15;24;30;32;44;38;1;EUR;835670,88;3;EUR;54352,52;165;EUR;1235,22;7874;EUR;41,35;133996;EUR;3,78;44;32;8;24;30;15;38;
Sunday;11.03.2001;1;2;7;25;28;38;32;1;EUR;1139743,25;6;EUR;37064,82;200;EUR;1389,87;11801;EUR;37,64;194761;EUR;3,56;2;28;25;7;38;1;32;
Wednesday;14.03.2001;5;18;25;27;29;30;20;JP;;764935,36;1;EUR;149255,68;160;EUR;1166,04;8446;EUR;35,32;133037;EUR;3,49;18;27;30;29;25;5;20;
Sunday;18.03.2001;13;20;30;33;37;38;2;1;EUR;2327717,42;3;EUR;101644,30;258;EUR;1477,37;14357;EUR;42,44;246391;EUR;3,85;13;38;30;33;37;20;2;
Wednesday;21.03.2001;5;10;13;22;38;41;33;2;EUR;378807,37;6;EUR;24637,83;170;EUR;1086,89;8184;EUR;36,12;125733;EUR;3,63;22;5;41;13;10;38;33;
Sunday;25.03.2001;23;24;27;29;42;44;12;1;EUR;1051352,88;3;EUR;68380,63;150;EUR;1709,48;8571;EUR;47,82;157991;EUR;4,00;44;24;29;27;23;42;12;
Wednesday;28.03.2001;5;6;7;15;30;40;36;JP;;729330,17;5;EUR;28461,66;158;EUR;1125,85;8773;EUR;32,41;143112;EUR;3,05;40;7;5;15;30;6;36;
Sunday;01.04.2001;1;13;28;33;37;41;22;DJP;;2242905,10;13;EUR;22717,82;326;EUR;1132,39;15433;EUR;38,23;254229;EUR;3,56;41;33;13;28;1;37;22;
Wednesday;04.04.2001;4;7;14;40;41;44;1;1;EUR;4131708,03;16;EUR;23034,16;393;EUR;1172,21;18686;EUR;39,39;312150;EUR;3,63;44;4;14;7;40;41;1;
Sunday;08.04.2001;1;4;7;8;26;27;12;2;EUR;507491,48;21;EUR;9430,68;484;EUR;511,47;16620;EUR;23,76;226868;EUR;2,69;7;1;8;26;4;27;12;
Wednesday;11.04.2001;4;5;20;24;27;29;44;1;EUR;759843,54;4;EUR;37065,47;181;EUR;1023,89;8563;EUR;34,59;140455;EUR;3,27;29;24;4;20;27;5;44;
Sunday;15.04.2001;9;14;34;40;42;45;11;3;EUR;356747,38;5;EUR;41765,51;295;EUR;884,79;11046;EUR;37,79;179851;EUR;3,56;9;34;45;14;42;40;11;
Wednesday;18.04.2001;2;10;15;18;21;37;44;JP;;689525,88;3;EUR;44847,21;120;EUR;1401,42;6457;EUR;41,64;111729;EUR;3,71;15;37;21;18;10;2;44;
Sunday;22.04.2001;4;18;19;22;41;44;14;3;EUR;720458,64;11;EUR;26108,15;251;EUR;1430,20;12971;EUR;44,26;228635;EUR;3,92;18;41;44;19;4;22;14;
Wednesday;25.04.2001;1;11;17;19;22;36;34;2;EUR;375051,63;1;EUR;146361,56;154;EUR;1187,98;7926;EUR;36,92;136093;EUR;3,34;22;36;17;1;19;11;34;
Sunday;29.04.2001;8;15;25;28;29;37;2;1;EUR;1052737,44;6;EUR;34235,30;196;EUR;1310,00;10599;EUR;38,73;186369;EUR;3,42;29;15;8;28;25;37;2;
Wednesday;02.05.2001;10;18;19;33;39;45;27;1;EUR;783512,71;JP;;152880,53;157;EUR;1217,20;7837;EUR;38,95;130231;EUR;3,63;45;18;19;10;39;33;27;
Sunday;06.05.2001;6;27;30;34;39;43;35;JP;;987908,69;4;EUR;86410,76;182;EUR;1323,88;9545;EUR;40,33;168276;EUR;3,56;39;6;43;30;34;27;35;
Wednesday;09.05.2001;9;10;11;30;32;39;35;3;EUR;746034,97;5;EUR;48788,11;232;EUR;1314,29;12346;EUR;39,46;220093;EUR;3,42;39;9;11;10;32;30;35;
Sunday;13.05.2001;11;19;28;29;37;44;3;1;EUR;974914,86;5;EUR;38045,39;197;EUR;1207,02;9338;EUR;40,70;160843;EUR;3,63;11;19;28;44;37;29;3;
Wednesday;16.05.2001;6;8;10;27;29;37;45;JP;;732820,14;1;EUR;142989,25;189; EUR;945,69;8812;EUR;32,41;141269;EUR;3,12;27;6;29;8;37;10;45;
Sunday;20.05.2001;2;23;33;37;40;43;31;1;EUR;2106562,65;4;EUR;67011,77;205;EUR;1634,41;12164;EUR;44,04;216147;EUR;3,85;2;23;43;33;37;40;31;
Wednesday;23.05.2001;6;16;20;31;40;41;23;JP;;730007,49;3;EUR;47480,14;131;EUR;1359,13;6285;EUR;45,28;113347;EUR;3,92;41;40;20;16;6;31;23;
Sunday;27.05.2001;22;23;32;35;36;45;3;2;EUR;994467,27;5;EUR;49128,80;267;EUR;1149,97;12422;EUR;39,53;204256;EUR;3,71;23;45;32;35;22;36;3;
Wednesday;30.05.2001;7;9;22;25;29;34;4;2;EUR;346234,09;3;EUR;45038,55;163;EUR;1036,10;7668;EUR;35,17;127181;EUR;3,27;29;7;9;22;34;25;4;
Sunday;03.06.2001;1;6;15;19;32;38;29;JP;;1012506,85;8;EUR;24695,25;189;EUR;1306,58;9652;EUR;40,91;166618;EUR;3,63;15;32;19;38;6;1;29;
Wednesday;06.06.2001;3;6;11;17;41;42;19;DJP;;2205778,87;10;EUR;23283,29;186;EUR;1564,72;12652;EUR;36,77;214824;EUR;3,34;41;42;3;11;17;6;19;
Sunday;10.06.2001;1;3;5;6;10;13;43;14;EUR;296805,23;14;EUR;27170,63;1097;EUR;433,42;37331;EUR;20,35;405851;EUR;2,91;3;1;5;10;6;13;43;
Wednesday;13.06.2001;11;20;28;30;42;43;9;JP;;754433,99;2;EUR;73603,26;114;EUR;1614,06;6530;EUR;45,06;118228;EUR;3,85;20;11;42;30;28;43;9;
Sunday;17.06.2001;3;6;17;24;37;41;25;1;EUR;2073821,72;7;EUR;36777,32;260;EUR;1237,69;14067;EUR;36,55;223248;EUR;3,56;17;6;37;24;3;41;25;
Wednesday;20.06.2001;6;20;23;24;29;32;41;JP;;771000,27;JP;;150439,02;109;EUR;1725,18;6806;EUR;44,19;124829;EUR;3,71;24;29;6;20;32;23;41;
Sunday;24.06.2001;4;23;27;31;38;41;17;3;EUR;751957,15;16;EUR;27510,59;324;EUR;1117,78;14427;EUR;40,12;240355;EUR;3,71;31;23;41;4;27;38;17;
Wednesday;27.06.2001;3;16;28;32;39;43;38;JP;;695166,02;4;EUR;33910,53;352;EUR;481,68;10508;EUR;25,80;131389;EUR;3,20;3;16;28;32;43;39;38;
Sunday;01.07.2001;8;15;19;31;34;44;7;DJP;;2145215,08;7;EUR;40419,47;293;EUR;1207,02;13430;EUR;42,08;231721;EUR;3,78;44;15;8;19;34;31;7;
Wednesday;04.07.2001;4;7;16;17;24;45;15;3-JP;;4019276,61;7;EUR;52238,61;335;EUR;1364,43;19854;EUR;36,77;338136;EUR;3,34;17;7;16;4;45;24;15;
Sunday;08.07.2001;13;18;23;24;39;44;36;2;EUR;3586445,50;8;EUR;76917,36;478;EUR;1609,12;26760;EUR;45,93;480500;EUR;4,00;44;13;39;23;24;18;36;
Wednesday;11.07.2001;21;23;29;40;41;42;5;1;EUR;739389,18;3;EUR;48090,30;139;EUR;1297,36;6525;EUR;44,19;118010;EUR;3,78;23;42;21;41;40;29;5;
Sunday;15.07.2001;2;5;6;8;11;36;27;2;EUR;510109,74;11;EUR;18096,99;336;EUR;740,54;14257;EUR;27,91;207639;EUR;2,98;11;2;36;5;8;6;27;
Wednesday;18.07.2001;7;16;20;33;36;43;37;1;EUR;726083,37;3;EUR;47224,92;195;EUR;908,12;7911;EUR;35,76;126872;EUR;3,49;33;16;36;20;43;7;37;
Sunday;22.07.2001;12;20;25;27;40;44;2;JP;;1015270,31;7;EUR;28300,18;144;EUR;1719,58;8551;EUR;46,29;156076;EUR;3,92;27;12;40;25;20;44;2;
Wednesday;25.07.2001;13;21;23;38;42;45;33;1;EUR;2293192,01;4;EUR;62337,59;280;EUR;1113,13;11656;EUR;42,73;201025;EUR;3,85;38;45;42;13;23;21;33;
Sunday;29.07.2001;2;12;18;21;37;43;23;1;EUR;957492,71;5;EUR;37365,54;192;EUR;1216,33;8642;EUR;43,17;143416;EUR;4,07;37;2;18;43;12;21;23;
Wednesday;01.08.2001;6;11;18;32;35;45;25;1;EUR;711616,53;1;EUR;138851,99;140;;1239,73;6448;EUR;43,02;109193;EUR;3,92;18;45;6;35;11;32;25;
Sunday;05.08.2001;7;11;18;20;35;37;32;2;EUR;475615,14;2;EUR;92802,92;174;EUR;1333,33;8736;EUR;42,44;150854;EUR;3,78;37;20;35;11;18;7;32;
Wednesday;08.08.2001;1;2;17;18;24;33;38;JP;;702120,16;JP;;136999,05;124;EUR;1381,00;6192;EUR;44,19;110658;EUR;3,85;24;33;17;1;2;18;38;
Sunday;12.08.2001;6;20;31;32;33;43;16;2;EUR;1067953,17;10;EUR;41676,20;180;EUR;1942,76;11726;EUR;47,67;219245;EUR;3,92;6;20;43;31;33;32;16;
Wednesday;15.08.2001;6;14;27;29;31;41;2;JP;;656503,42;4;EUR;32024,52;146;EUR;1096,71;7125;EUR;35,90;114058;EUR;3,49;6;27;29;41;31;14;2;
Sunday;19.08.2001;10;14;26;30;36;42;20;JP;;2081511,81;8;EUR;34756,29;322;EUR;1079,34;15866;EUR;35,03;245905;EUR;3,49;42;10;30;14;36;26;20;
Wednesday;22.08.2001;8;18;28;30;33;36;14;4;EUR;975134,63;6;EUR;59155,32;344;EUR;1289,65;18833;EUR;37,64;319550;EUR;3,42;18;33;8;36;30;28;14;
Sunday;26.08.2001;2;8;20;21;39;43;45;JP;;954103,91;3;EUR;62055,48;198;EUR;1175,27;9039;EUR;41,13;158462;EUR;3,63;20;39;21;8;2;43;45;
Wednesday;29.08.2001;11;23;24;28;39;41;33;2;EUR;1141896,83;8;EUR;32431,42;252;EUR;1286,89;12664;EUR;40,91;225117;EUR;3,56;39;24;11;28;23;41;33;
Sunday;02.09.2001;15;26;28;40;41;45;5;JP;;987234,94;3;EUR;64210,37;218;EUR;1104,48;10377;EUR;37,06;170859;EUR;3,49;41;40;28;26;15;45;5;
Wednesday;05.09.2001;4;9;25;38;42;43;20;1;EUR;2586878,34;5;EUR;62425,09;208;EUR;1875,69;13402;EUR;46,51;240112;EUR;4,00;38;9;4;42;25;43;20;
Sunday;09.09.2001;9;15;16;20;26;29;12;JP;;1161603,82;7;EUR;32379,16;265;EUR;1069,09;14152;EUR;31,98;226970;EUR;3,05;16;26;9;15;29;20;12;
Wednesday;12.09.2001;3;5;14;24;29;42;6;3;EUR;818726,63;2;EUR;126300,08;244;EUR;1294,01;12365;EUR;40,84;217212;EUR;3,63;5;42;3;24;29;14;6;
Sunday;16.09.2001;11;15;18;21;23;27;13;JP;;968420,38;6;EUR;31493,28;226;EUR;1045,11;11549;EUR;32,70;184335;EUR;3,20;15;11;18;23;27;21;13;
Wednesday;19.09.2001;7;10;15;27;31;41;35;1;EUR;2335858,23;6;EUR;44469,45;338;EUR;986,68;15899;EUR;33,50;251442;EUR;3,27;15;27;10;41;7;31;35;
Sunday;23.09.2001;5;7;15;33;35;40;13;JP;;948654,24;6;EUR;30850,49;220;EUR;1051,72;11341;EUR;32,63;176209;EUR;3,27;5;33;7;40;15;35;13;
Wednesday;26.09.2001;18;27;34;35;36;43;7;DJP;;2267155,37;5;EUR;51453,67;222;EUR;1448,51;11734;EUR;43,82;206265;EUR;3,85;43;27;36;18;35;34;7;
Sunday;30.09.2001;2;4;5;13;28;36;17;1;EUR;4312664,84;3;EUR;133041,21;444;EUR;1123,59;21431;EUR;37,21;361856;EUR;3,42;5;36;28;2;4;13;17;
Wednesday;03.10.2001;9;11;13;17;23;24;1;2;EUR;370321,58;6;EUR;24085,96;183;EUR;987,12;9507;EUR;30,38;145003;EUR;3,05;11;9;23;24;13;17;1;
Sunday;07.10.2001;4;6;14;18;34;35;30;JP;EUR;983507,05;3;EUR;63967,94;162;EUR;1480,71;9137;EUR;42,00;156021;EUR;3,78;18;35;34;6;4;14;30;
Wednesday;10.10.2001;8;20;24;31;33;43;18;DJP;;2304201,65;7;EUR;36813,73;266;EUR;1210,95;12731;EUR;40,48;212375;EUR;3,78;20;24;33;8;31;43;18;
Sunday;14.10.2001;6;26;31;32;35;38;3;1;EUR;4299068,33;4;EUR;97310,52;312;EUR;1559,41;17888;EUR;43,46;317783;EUR;3,78;35;6;32;26;31;38;3;
Wednesday;17.10.2001;3;11;12;25;26;44;27;JP;;740144,98;2;EUR;72209,25;189;EUR;955,14;8459;EUR;34,08;135962;EUR;3,27;44;25;12;26;11;3;27;
Sunday;21.10.2001;7;12;20;29;41;42;9;3;EUR;762344,57;8;EUR;37728,97;339;EUR;1112,91;14834;EUR;40,62;258012;EUR;3,63;20;7;42;12;41;29;9;
Wednesday;24.10.2001;13;16;18;27;37;44;31;1;EUR;731632,38;5;EUR;28551,49;118;EUR;1512,25;6573;EUR;43,39;115284;EUR;3,85;18;13;16;37;44;27;31;
Sunday;28.10.2001;14;18;31;33;36;37;39;3;EUR;306447,32;8;EUR;22422,91;133;EUR;1685,94;7623;EUR;47,02;132286;EUR;4,22;14;33;18;37;31;36;39;
Wednesday;31.10.2001;2;10;14;21;31;34;26;1;EUR;762443,33;2;EUR;74384,72;191;EUR;973,60;8452;EUR;35,17;133246;EUR;3,49;31;10;14;2;34;21;26;
Sunday;04.11.2001;11;12;31;37;41;43;40;1;EUR;987568,95;2;EUR;96348,19;137;EUR;1758,17;8182;EUR;47,09;144367;EUR;4,14;41;37;43;31;11;12;40;
Wednesday;07.11.2001;17;23;30;37;40;42;15;JP;EUR;724946,04;1;EUR;141452,88;94;EUR;1880,99;5864;EUR;48,18;107024;EUR;4,07;17;42;37;23;30;40;15;
Sunday;11.11.2001;9;19;20;21;31;35;8;1;EUR;2197931,65;7;EUR;41058,77;295;EUR;1217,78;14737;EUR;35,95;253029;EUR;3,49;19;20;21;31;35;9;8;
Wednesday;14.11.2001;8;15;16;36;38;42;9;JP;EUR;716156,48;4;EUR;34934,41;113;EUR;1545,75;6519;EUR;42,80;113084;EUR;3,85;38;8;15;36;42;16;9;
Sunday;18.11.2001;7;11;24;25;26;30;44;2;EUR;1073031,69;1;EUR;279006,20;284;EUR;1227,95;16289;EUR;34,23;272833;EUR;3,12;26;25;11;7;30;24;44;
Wednesday;21.11.2001;8;17;22;31;35;41;44;1;EUR;758616,45;9;EUR;16446,95;169;EUR;1094,82;7469;EUR;39,61;125495;EUR;3,63;41;35;17;31;22;8;44;
Sunday;25.11.2001;5;10;13;21;36;37;15;JP;;966632,20;1;EUR;188611,15;194;EUR;1215,24;9735;EUR;38,73;163709;EUR;3,56;36;37;21;10;5;13;15;
Wednesday;28.11.2001;2;8;20;22;30;31;27;DJP;;2259122,04;8;EUR;31524,09;260;EUR;1212,40;13722;EUR;36,70;223666;EUR;3,49;22;8;30;2;20;31;27;
Sunday;02.12.2001;4;17;19;31;35;44;43;4;EUR;1054736,52;13;EUR;29415,71;462;EUR;1034,64;19327;EUR;39,53;320459;EUR;3,71;19;35;17;44;31;4;43;
Wednesday;05.12.2001;8;17;18;32;33;42;11;2;EUR;392396,39;7;EUR;21875,69;155;EUR;1234,86;7220;EUR;42,37;126598;EUR;3,78;42;8;32;18;33;17;11;
Sunday;09.12.2001;3;6;7;23;32;35;40;JP;EUR;912070,38;4;EUR;44491,18;249;EUR;893,37;10163;EUR;34,96;169536;EUR;3,27;32;23;3;35;7;6;40;
Wednesday;12.12.2001;8;17;24;28;37;38;16;2;EUR;1167188,43;3;EUR;92507,72;277;EUR;1252,30;14468;EUR;38,30;240727;EUR;3,56;28;8;24;37;17;38;16;
Sunday;16.12.2001;3;5;8;19;24;44;2;2;EUR;519100,89;9;EUR;22508,38;329;EUR;769,61;13202;EUR;30,67;199898;EUR;3,12;8;24;5;3;19;44;2;
Wednesday;19.12.2001;2;5;24;26;38;40;18;1;EUR;753085,40;4;EUR;36735,83;138;EUR;1331,00;6895;EUR;42,59;122789;EUR;3,71;40;38;26;5;24;2;18;
Sunday;23.12.2001;3;7;16;24;30;34;12;1;EUR;1061595,10;3;EUR;69046,82;234;EUR;1106,52;12483;EUR;33,14;197824;EUR;3,27;34;16;3;7;30;24;12;
Wednesday;26.12.2001;1;14;17;19;25;31;29;1;EUR;726728,34;2;EUR;60816,55;114;EUR;1333,69;6528;EUR;37,21;103208;EUR;3,63;19;25;31;14;17;1;29;
Sunday;29.12.2001;6;10;11;21;31;37;40;JP;;1125611,07;3;EUR;73210,47;265;EUR;1035,95;15029;EUR;29,21;200083;EUR;3,42;31;11;21;10;6;37;40;
Wednesday;02.01.2002;7;23;24;33;36;39;3;DJP;;1997245,20;5;EUR;33205,10;170;EUR;1098,69;8685;EUR;38,23;145348;EUR;3,56;7;24;36;39;33;23;3;
Sunday;06.01.2002;13;20;28;30;39;43;25;3JP;;3659887,50;11;EUR;28790,30;329;EUR;1082,90;16244;EUR;38,90;268263;EUR;3,60;43;28;13;39;30;20;25;
Wednesday;09.01.2002;10;17;33;39;42;43;29;2;EUR;3417662,90;15;EUR;40323,00;544;EUR;1250,80;29448;EUR;41,00;503108;EUR;3,70;10;42;17;33;39;43;29;
Sunday;13.01.2002;4;5;30;33;35;42;10;1;EUR;1000000,00;3;EUR;62524,90;191;EUR;1104,80;7890;EUR;47,50;146008;EUR;4,00;33;35;4;5;30;42;10;
Wednesday;16.01.2002;4;21;26;35;39;43;28;1;EUR;767889,60;4;EUR;36566,10;138;EUR;1192,30;8060;EUR;36,20;127125;EUR;3,50;21;43;4;26;35;39;28;
Sunday;20.01.2002;3;4;29;34;36;42;20;1;EUR;1026237,50;5;EUR;39094,70;121;EUR;1817,40;7567;EUR;51,60;143497;EUR;4,20;4;42;34;3;36;29;20;
