weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;fourAddNr;currency4;rateFourAddNr;nr1;nr2;nr3;nr4;nr5;nr6;four;currency5;rateFour;threeAddNr;currency6;rateThreeAddNr;three;currency7;rateThree;nrOfAddNr;currency8;rateAddNr;
Wednesday;08.9.2010;4;30;31;32;34;38;33;JP;;877301,90;5;EUR;24125,80;99;EUR;1329,20;504;EUR;91,30;32;30;38;4;34;31;4161;EUR;52,10;6464;EUR;16,20;70308;EUR;5,40;275613;EUR;1,10;
Sunday;12.9.2010;1;9;19;34;39;43;8;1;EUR;2205765,30;2;EUR;91331,80;178;EUR;1119,40;398;EUR;175,20;43;39;9;1;34;19;8154;EUR;40,30;10752;EUR;14,80;129114;EUR;4,50;417663;EUR;1,10;
Wednesday;15.9.2010;5;6;26;34;35;42;22;JP;;830607,20;JP;;114208,40;82;EUR;1519,40;269;EUR;162,10;42;35;6;26;34;5;4233;EUR;48,50;6666;EUR;14,90;75592;EUR;4,80;235433;EUR;1,10;
Sunday;19.9.2010;6;17;20;26;34;36;16;DJP;;2173795,00;7;EUR;42699,50;154;EUR;1308,20;555;EUR;127,00;34;17;6;26;20;36;8005;EUR;41,50;11879;EUR;13,50;127067;EUR;4,60;382085;EUR;1,10;
Wednesday;22.9.2010;2;9;10;14;29;40;11;3JP;;3636367,60;4;EUR;50275,90;208;EUR;1054,70;534;EUR;143,70;9;14;29;10;2;40;9801;EUR;36,90;13458;EUR;13,00;149712;EUR;4,20;441965;EUR;1,10;
Sunday;26.9.2010;2;12;15;33;34;45;42;1;EUR;5625137,00;8;EUR;34181,90;279;EUR;1069,20;588;EUR;177,50;12;2;33;45;34;15;11855;EUR;41,50;14743;EUR;16,10;188467;EUR;4,60;541211;EUR;1,10;
Wednesday;29.9.2010;9;17;26;33;35;36;28;JP;;785156,20;5;EUR;21591,70;126;EUR;934,70;306;EUR;134,70;26;33;35;36;9;17;5413;EUR;35,80;6924;EUR;13,60;79377;EUR;4,30;233020;EUR;1,10;
Sunday;3.10.2010;1;17;24;25;26;31;36;DJP;;2150087,50;6;EUR;31279,60;162;EUR;1263,80;357;EUR;200,70;26;1;24;25;31;17;7344;EUR;45,90;9197;EUR;17,80;124271;EUR;4,80;358875;EUR;1,10;
Wednesday;6.10.2010;23;27;36;39;40;43;10;2;EUR;1840631,00;11;EUR;19139,60;200;EUR;1148,30;485;EUR;165,70;36;23;39;43;27;40;9327;EUR;40,60;12792;EUR;14,30;145721;EUR;4,60;478736;EUR;1,10;
Sunday;10.10.2010;7;9;18;21;24;44;15;JP;;971789,80;4;EUR;33405,20;121;EUR;1204,60;308;EUR;165,60;21;44;9;18;7;24;6140;EUR;39,10;7162;EUR;16,20;101060;EUR;4,20;284491;EUR;1,10;
Wednesday;13.10.2010;2;3;13;30;35;40;20;1;EUR;2196800,00;2;EUR;84219,40;137;EUR;1341,20;414;EUR;155,30;13;2;35;3;40;30;6629;EUR;45,70;10455;EUR;14,00;113477;EUR;4,70;334682;EUR;1,10;
