date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;fourAddNr;currency4;rateFourAddNr;four;currency5;rateFour;threeAddNr;currency6;rateThreeAddNr;three;currency7;rateThree;nrOfAddNr;currency8;rateAddNr;
03.01.2018;8;22;25;26;32;45;6;JP;;742274,20;1;EUR;102062,70;70;EUR;1590,50;197;EUR;169,50;3694;EUR;50,20;5495;EUR;15,10;62416;EUR;5,30;213592;EUR;1,20;
07.01.2018;26;31;32;37;39;41;25;DJP;;1790819,10;3;EUR;48058,30;115;EUR;1367,60;260;EUR;181,40;5098;EUR;51,40;6180;EUR;19,00;81778;EUR;5,80;276088;EUR;1,20;
10.01.2018;3;7;25;27;31;41;21;3;EUR;976535,30;2;EUR;78291,50;149;EUR;1146,40;393;EUR;130,30;6679;EUR;42,60;9324;EUR;13,70;104882;EUR;4,90;301219;EUR;1,20;
14.01.2018;1;3;30;33;37;43;10;1;EUR;1000000,00;4;EUR;30070,60;81;EUR;1619,90;268;EUR;146,80;4766;EUR;45,80;6957;EUR;14,10;73564;EUR;5,30;248797;EUR;1,20;
17.01.2018;9;14;15;17;31;42;3;JP;;743122,80;1;EUR;102179,30;68;EUR;1639,20;210;EUR;159,20;3498;EUR;53,10;5916;EUR;14,10;60142;EUR;5,50;218404;EUR;1,20;
21.01.2018;11;12;14;24;31;44;22;DJP;;1781497,30;7;EUR;20396,60;107;EUR;1455,60;311;EUR;150,20;5207;EUR;49,80;7382;EUR;15,80;87871;EUR;5,30;273789;EUR;1,20;
24.01.2018;2;4;8;14;35;43;12;1;EUR;2831804,40;3;EUR;48139,00;98;EUR;1607,60;300;EUR;157,50;5235;EUR;50,10;8395;EUR;14,00;90070;EUR;5,20;284220;EUR;1,20;
28.01.2018;13;22;30;34;35;45;27;JP;;818009,60;JP;;112476,30;76;EUR;1614,40;209;EUR;176,10;3794;EUR;53,90;5653;EUR;16,20;64771;EUR;5,70;239440;EUR;1,20;
31.01.2018;3;15;23;26;38;40;35;2;EUR;887519,40;7;EUR;34866,80;146;EUR;983,20;367;EUR;117,30;5639;EUR;42,40;7969;EUR;13,50;85271;EUR;5,00;229963;EUR;1,20;
04.02.2018;2;17;19;22;34;38;6;1;EUR;1000000,00;1;EUR;115622,70;116;EUR;1087,30;288;EUR;131,30;4511;EUR;46,60;6511;EUR;14,50;71211;EUR;5,30;237081;EUR;1,20;
07.02.2018;6;13;22;25;36;41;3;JP;;702179,60;3;EUR;32183,20;91;EUR;1157,40;224;EUR;141,00;3306;EUR;53,00;5534;EUR;14,20;56737;EUR;5,60;216728;EUR;1,20;
11.02.2018;3;12;30;34;37;40;45;1;EUR;1711967,80;3;EUR;46281,90;84;EUR;1803,10;246;EUR;184,70;4973;EUR;50,70;6534;EUR;17,30;83376;EUR;5,40;253761;EUR;1,20;
14.02.2018;9;10;12;28;32;40;39;JP;;684258,30;2;EUR;47042,70;58;EUR;1769,60;199;EUR;154,70;4004;EUR;42,70;4745;EUR;16,20;65837;EUR;4,70;172683;EUR;1,20;
18.02.2018;1;12;14;30;35;40;29;1;EUR;1681427,10;2;EUR;68555,30;95;EUR;1574,40;240;EUR;186,90;4959;EUR;50,20;6451;EUR;17,30;83000;EUR;5,40;273814;EUR;1,20;
21.02.2018;1;16;23;29;33;37;42;JP;;672696,50;1;EUR;92495,70;57;EUR;1770,20;193;EUR;156,80;3285;EUR;51,10;4495;EUR;16,80;55285;EUR;5,50;164064;EUR;1,20;
25.02.2018;1;10;11;20;32;39;23;DJP;;1645198,90;3;EUR;44573,00;97;EUR;1503,80;310;EUR;141,10;5127;EUR;47,40;7248;EUR;15,00;86456;EUR;5,00;249352;EUR;1,20;
28.02.2018;3;21;22;32;36;40;2;3JP;;2639487,90;JP;;136714,70;138;EUR;1080,70;279;EUR;160,30;5539;EUR;44,80;7012;EUR;15,90;87052;EUR;5,10;279195;EUR;1,20;
04.03.2018;7;12;28;32;34;39;33;1;EUR;3972885,80;2;EUR;160028,40;158;EUR;1265,80;326;EUR;184,00;7056;EUR;47,20;9176;EUR;16,30;118078;EUR;5,10;365982;EUR;1,20;
07.03.2018;1;18;26;27;32;42;16;JP;;702887,70;1;EUR;96647,00;53;EUR;1989,30;175;EUR;180,70;3329;EUR;52,70;4699;EUR;16,80;56598;EUR;5,60;177593;EUR;1,20;
11.03.2018;3;6;10;20;28;33;32;DJP;;1726220,60;8;EUR;17588,50;193;EUR;795,30;310;EUR;148,50;7637;EUR;33,40;7239;EUR;15,90;107888;EUR;4,20;252598;EUR;1,20;
14.03.2018;7;10;12;35;37;38;28;3JP;;2745774,60;2;EUR;70094,30;91;EUR;1680,50;246;EUR;186,50;4808;EUR;53,00;7486;EUR;15,30;84325;EUR;5,40;268822;EUR;1,20;
18.03.2018;10;13;14;24;26;33;36;4JP;;4105602,20;3;EUR;62325,40;159;EUR;1282,80;393;EUR;155,70;7605;EUR;44,70;9700;EUR;15,70;123059;EUR;5,00;328457;EUR;1,20;
21.03.2018;10;23;25;32;34;44;16;2;EUR;2812630,40;5;EUR;41790,60;192;EUR;1187,20;396;EUR;172,60;7955;EUR;47,70;10488;EUR;16,30;127001;EUR;5,40;405706;EUR;1,20;
25.03.2018;8;9;18;28;40;44;36;1;EUR;1000000,00;1;EUR;110179,50;92;EUR;1306,40;241;EUR;149,60;4625;EUR;43,30;5719;EUR;15,70;71755;EUR;5,00;191567;EUR;1,20;
28.03.2018;3;4;28;30;31;39;1;JP;;668063,00;1;EUR;91858,60;78;EUR;1284,70;189;EUR;159,00;3611;EUR;46,20;4891;EUR;15,30;59218;EUR;5,10;176303;EUR;1,20;
01.04.2018;13;23;25;29;36;38;24;DJP;;1716066,30;3;EUR;48033,40;93;EUR;1690,30;222;EUR;212,40;4877;EUR;53,70;6722;EUR;17,50;83284;EUR;5,60;282664;EUR;1,20;
04.04.2018;11;14;26;29;35;43;10;3JP;;2644901,90;2;EUR;63857,40;81;EUR;1720,00;245;EUR;170,60;4941;EUR;46,90;6674;EUR;15,60;80400;EUR;5,20;273321;EUR;1,20;
08.04.2018;1;5;19;23;26;30;37;4JP;;3938155,70;2;EUR;88911,10;179;EUR;1083,70;348;EUR;167,20;7969;EUR;40,50;8413;EUR;17,20;123659;EUR;4,70;306584;EUR;1,20;
