datum;aufsteigend;z1asc;z2asc;z3asc;z4asc;z5asc;z6asc;zz;zusatzzahl;sechser;;quoteSechser;fuenferZz;;quoteFuenferZz;fuenfer;;quoteFuenfer;viererZz;;quoteViererZz;vierer;;quoteVierer;dreierZz;;quoteDreierZz;dreier;;quoteDreier;ZZ;nrOfZz;;quoteZz;
02.01.2022;aufsteigend;11;19;20;30;34;38;ZZ;25;2;EUR;817.096,50;3;EUR;110.269,20;123;EUR;1.151,90;219;EUR;194,00;4.982;EUR;47,40;5.950;EUR;17,80;80.397;EUR;5,30;ZZ;234.985;EUR;1,20;
05.01.2022;aufsteigend;4;14;29;35;39;40;ZZ;36;JP;;678.795,10;1;EUR;93.334,30;81;EUR;1.257,00;167;EUR;182,90;3.374;EUR;50,20;3.933;EUR;19,40;55.942;EUR;5,40;ZZ;162.506;EUR;1,20;
09.01.2022;aufsteigend;2;3;5;11;19;44;ZZ;24;DJP;;1.513.687,40;4;EUR;28.699,40;131;EUR;955,90;353;EUR;106,40;6.389;EUR;32,60;7.477;EUR;12,50;92.373;EUR;4,00;ZZ;204.357;EUR;1,20;
12.01.2022;aufsteigend;4;9;29;30;32;38;ZZ;14;3JP;;2.423.879,90;4;EUR;31.287,80;64;EUR;2.133,20;241;EUR;169,90;4.374;EUR;52,00;6.380;EUR;16,00;76.643;EUR;5,30;ZZ;228.443;EUR;1,20;
14.01.2022;aufsteigend;6;14;20;29;34;41;ZZ;11;1;EUR;3.264.949,30;2;EUR;57.823,50;78;EUR;1.617,40;257;EUR;147,20;4.360;EUR;48,20;6.368;EUR;14,80;68.732;EUR;5,50;ZZ;243.371;EUR;1,20;
16.01.2022;aufsteigend;6;7;9;37;41;43;ZZ;32;JP;;711.680,30;JP;;97.856,00;75;EUR;1.423,30;167;EUR;191,70;3.482;EUR;51,00;4.540;EUR;17,60;61.323;EUR;5,20;ZZ;174.959;EUR;1,20;
19.01.2022;aufsteigend;9;10;11;21;32;43;ZZ;44;DJP;;1.505.229,00;1;EUR;206.968,90;73;EUR;1.630,50;221;EUR;161,50;4.742;EUR;41,80;5.556;EUR;16,00;74.659;EUR;4,80;ZZ;188.973;EUR;1,20;
23.01.2022;aufsteigend;5;27;29;31;35;44;ZZ;37;3JP;;2.501.615,90;2;EUR;68.501,60;91;EUR;1.642,30;229;EUR;195,70;5.221;EUR;47,70;6.380;EUR;17,50;85.377;EUR;5,20;ZZ;225.373;EUR;1,20;
26.01.2022;aufsteigend;2;19;23;36;38;39;ZZ;7;4JP;;3.547.027,90;4;EUR;35.936,00;102;EUR;1.537,30;279;EUR;168,60;5.134;EUR;50,90;7.583;EUR;15,50;84.778;EUR;5,50;ZZ;311.548;EUR;1,20;
30.01.2022;aufsteigend;11;14;34;37;39;40;ZZ;42;2;EUR;2.460.412,90;4;EUR;47.224,30;139;EUR;1.482,50;349;EUR;177,10;6.865;EUR;50,00;9.272;EUR;16,60;111.947;EUR;5,50;ZZ;344.969;EUR;1,20;
02.02.2022;aufsteigend;4;8;10;15;18;27;ZZ;45;JP;;649.793,70;2;EUR;44.673,30;124;EUR;786,00;233;EUR;125,40;4.925;EUR;32,90;4.995;EUR;14,60;69.246;EUR;4,20;ZZ;161.029;EUR;1,20;
06.02.2022;aufsteigend;7;16;17;32;36;39;ZZ;37;DJP;;1.552.040,20;JP;;124.058,90;100;EUR;1.353,30;232;EUR;175,00;5.069;EUR;44,40;5.964;EUR;17,00;79.937;EUR;5,10;ZZ;202.610;EUR;1,20;
09.02.2022;aufsteigend;1;4;21;29;31;34;ZZ;12;3JP;;2.443.586,20;5;EUR;49.329,20;96;EUR;1.393,00;290;EUR;138,30;4.658;EUR;47,80;7.114;EUR;14,00;75.574;EUR;5,30;ZZ;246.198;EUR;1,20;
11.02.2022;aufsteigend;2;7;22;37;40;44;ZZ;21;4JP;;3.291.022,50;1;EUR;116.522,40;85;EUR;1.495,40;240;EUR;158,80;4.276;EUR;49,50;5.947;EUR;16,00;70.429;EUR;5,40;ZZ;232.137;EUR;1,20;
13.02.2022;aufsteigend;13;17;23;26;35;37;ZZ;5;1;EUR;4.240.390,90;JP;;130.538,10;101;EUR;1.409,90;308;EUR;138,70;4.945;EUR;47,90;7.933;EUR;13,40;81.876;EUR;5,20;ZZ;280.896;EUR;1,20;
16.02.2022;aufsteigend;12;17;23;24;28;45;ZZ;44;JP;;620.931,50;2;EUR;107.958,10;66;EUR;1.411,20;164;EUR;170,30;3.430;EUR;45,20;4.064;EUR;17,10;56.421;EUR;4,90;ZZ;146.891;EUR;1,20;
20.02.2022;aufsteigend;2;10;17;24;35;37;ZZ;42;DJP;;1.494.720,10;JP;;120.145,90;98;EUR;1.337,40;248;EUR;158,50;4.540;EUR;48,10;5.784;EUR;16,90;75.068;EUR;5,20;ZZ;217.978;EUR;1,20;
23.02.2022;aufsteigend;1;3;21;23;35;43;ZZ;44;3JP;;2.388.666,60;DJP;;243.063,50;112;EUR;1.197,20;235;EUR;171,10;4.832;EUR;46,20;6.338;EUR;15,80;79.792;EUR;5,00;ZZ;220.224;EUR;1,20;
27.02.2022;aufsteigend;1;10;23;25;35;39;ZZ;5;2;EUR;1.765.837,00;5;EUR;80.045,40;183;EUR;936,80;377;EUR;136,40;6.074;EUR;47,00;9.077;EUR;14,10;95.654;EUR;5,40;ZZ;328.619;EUR;1,20;
02.03.2022;aufsteigend;4;12;20;25;29;36;ZZ;1;JP;;635.278,70;1;EUR;87.350,80;64;EUR;1.488,90;209;EUR;136,70;3.321;EUR;47,80;5.000;EUR;14,20;54.241;EUR;5,20;ZZ;168.061;EUR;1,20;
06.03.2022;aufsteigend;11;22;24;29;39;40;ZZ;9;1;EUR;1.521.433,70;3;EUR;40.615,40;81;EUR;1.641,00;281;EUR;141,90;4.424;EUR;50,00;7.081;EUR;14,00;75.416;EUR;5,30;ZZ;256.079;EUR;1,20;
09.03.2022;aufsteigend;2;22;32;33;34;41;ZZ;42;JP;;609.768,40;JP;;83.843,10;52;EUR;1.758,90;166;EUR;165,20;3.098;EUR;49,20;4.269;EUR;16,00;51.147;EUR;5,30;ZZ;150.965;EUR;1,20;
11.03.2022;aufsteigend;7;16;19;29;32;37;ZZ;30;DJP;;1.255.270,10;3;EUR;57.533,20;73;EUR;1.326,30;166;EUR;174,90;3.368;EUR;47,90;4.177;EUR;17,30;55.524;EUR;5,20;ZZ;167.618;EUR;1,20;
13.03.2022;aufsteigend;7;8;14;32;39;41;ZZ;33;3JP;;1.961.870,70;1;EUR;97.157,50;76;EUR;1.394,60;167;EUR;190,40;3.469;EUR;50,90;4.806;EUR;16,50;59.316;EUR;5,30;ZZ;185.033;EUR;1,20;
16.03.2022;aufsteigend;2;22;26;27;28;43;ZZ;40;2;EUR;1.440.420,50;5;EUR;25.271,60;90;EUR;1.531,60;258;EUR;160,20;4.733;EUR;48,50;6.451;EUR;16,00;81.561;EUR;5,00;ZZ;221.387;EUR;1,20;
20.03.2022;aufsteigend;10;14;15;17;19;36;ZZ;5;JP;;701.751,80;2;EUR;48.245,40;69;EUR;1.525,50;216;EUR;146,10;3.340;EUR;52,50;5.806;EUR;13,50;57.010;EUR;5,50;ZZ;201.139;EUR;1,20;
23.03.2022;aufsteigend;1;2;10;14;17;24;ZZ;34;DJP;;1.423.964,60;3;EUR;33.101,40;113;EUR;958,60;234;EUR;138,80;4.712;EUR;38,30;5.011;EUR;16,20;69.857;EUR;4,60;ZZ;173.217;EUR;1,20;
27.03.2022;aufsteigend;13;18;32;40;43;45;ZZ;44;3JP;;2.341.175,30;4;EUR;31.529,10;99;EUR;1.389,70;285;EUR;144,80;4.450;EUR;51,50;7.176;EUR;14,30;73.317;EUR;5,60;ZZ;231.275;EUR;1,20;
30.03.2022;aufsteigend;5;12;23;24;25;40;ZZ;7;1;EUR;3.289.627,60;3;EUR;43.470,70;103;EUR;1.381,20;335;EUR;127,40;5.174;EUR;45,80;8.358;EUR;12,70;84.014;EUR;5,10;ZZ;274.021;EUR;1,20;
03.04.2022;aufsteigend;3;17;26;33;41;45;ZZ;4;1;EUR;1.000.000,00;3;EUR;32.431,00;110;EUR;964,80;215;EUR;148,00;4.556;EUR;38,80;5.278;EUR;15,00;68.130;EUR;4,60;ZZ;205.570;EUR;1,20;
06.04.2022;aufsteigend;10;39;41;42;43;44;ZZ;25;JP;;595.308,70;2;EUR;40.927,40;158;EUR;565,10;165;EUR;162,30;4.059;EUR;36,60;3.513;EUR;19,00;47.023;EUR;5,70;ZZ;151.020;EUR;1,20;
